room,points,boundary_points,boundary_fraction,subset,method,count,accuracy,mean_class_accuracy,miou
5_conferenceRoom_3,101904,825,0.00809585,non_boundary,FlashKNN,101079,0.92528616,0.85440651,0.75190715
5_conferenceRoom_3,101904,825,0.00809585,non_boundary,ExactKNN,101079,0.91705498,0.82843726,0.72519623
5_office_5,51251,425,0.00829252,all,FlashKNN,51251,0.96848842,0.95759773,0.92342237
5_office_5,51251,425,0.00829252,all,ExactKNN,51251,0.97071277,0.96318632,0.83929143
5_office_5,51251,425,0.00829252,semantic_boundary,FlashKNN,425,0.65882353,0.54444289,0.37604950
5_office_5,51251,425,0.00829252,semantic_boundary,ExactKNN,425,0.69411765,0.58584262,0.38181786
5_office_5,51251,425,0.00829252,non_boundary,FlashKNN,50826,0.97107779,0.96021943,0.92808100
5_office_5,51251,425,0.00829252,non_boundary,ExactKNN,50826,0.97302562,0.96543695,0.84326215
5_lobby_1,70979,393,0.00553685,all,FlashKNN,70979,0.96104482,0.90893414,0.66750471
5_lobby_1,70979,393,0.00553685,all,ExactKNN,70979,0.98343172,0.96825389,0.81307586
5_lobby_1,70979,393,0.00553685,semantic_boundary,FlashKNN,393,0.70229008,0.73158378,0.40211729
5_lobby_1,70979,393,0.00553685,semantic_boundary,ExactKNN,393,0.72519084,0.66731287,0.47130460
5_lobby_1,70979,393,0.00553685,non_boundary,FlashKNN,70586,0.96248548,0.91086834,0.67009080
5_lobby_1,70979,393,0.00553685,non_boundary,ExactKNN,70586,0.98486952,0.97068940,0.81641848
5_hallway_14,48404,217,0.00448310,all,FlashKNN,48404,0.92736138,0.87133803,0.60341377
5_hallway_14,48404,217,0.00448310,all,ExactKNN,48404,0.94562433,0.89716759,0.62319297
5_hallway_14,48404,217,0.00448310,semantic_boundary,FlashKNN,217,0.87557604,0.58677759,0.43771848
5_hallway_14,48404,217,0.00448310,semantic_boundary,ExactKNN,217,0.85714286,0.54162671,0.33204656
5_hallway_14,48404,217,0.00448310,non_boundary,FlashKNN,48187,0.92759458,0.87185939,0.60390979
5_hallway_14,48404,217,0.00448310,non_boundary,ExactKNN,48187,0.94602279,0.89776295,0.62382065
5_office_9,54571,772,0.01414671,all,FlashKNN,54571,0.95477451,0.94245640,0.89232232
5_office_9,54571,772,0.01414671,all,ExactKNN,54571,0.95153103,0.94332304,0.80860394
5_office_9,54571,772,0.01414671,semantic_boundary,FlashKNN,772,0.62046632,0.58026899,0.38421584
5_office_9,54571,772,0.01414671,semantic_boundary,ExactKNN,772,0.58937824,0.56231757,0.36679024
5_office_9,54571,772,0.01414671,non_boundary,FlashKNN,53799,0.95957174,0.94644016,0.89874952
5_office_9,54571,772,0.01414671,non_boundary,ExactKNN,53799,0.95672782,0.94870849,0.81572000
5_office_16,50688,588,0.01160038,all,FlashKNN,50688,0.93006234,0.82648987,0.77533292
5_office_16,50688,588,0.01160038,all,ExactKNN,50688,0.92175663,0.83117081,0.77271494
5_office_16,50688,588,0.01160038,semantic_boundary,FlashKNN,588,0.75170068,0.61904120,0.50735801
5_office_16,50688,588,0.01160038,semantic_boundary,ExactKNN,588,0.77721088,0.65522064,0.53889498
5_office_16,50688,588,0.01160038,non_boundary,FlashKNN,50100,0.93215569,0.82904156,0.77838666
5_office_16,50688,588,0.01160038,non_boundary,ExactKNN,50100,0.92345309,0.83344957,0.77515477
5_office_41,95560,969,0.01014023,all,FlashKNN,95560,0.93412516,0.90482623,0.84529030
5_office_41,95560,969,0.01014023,all,ExactKNN,95560,0.93071369,0.91985451,0.84463423
